Identifier,Celltype,Antibody,Replikat,Name,Genome,name,
JV39,MPP,IgG,1,IgG_MPP,hs,,
JV53,HSC,IgG,1,IgG_HSC,hs,,
JV67,LMPP,IgG,1,IgG_LMPP,hs,,
JV68,LMPP,TAL1,1,TAL1_LMPP,hs,,
JV69,LMPP,FLI1,1,FLI1_LMPP,hs,,
JV70,LMPP,RUNX1,1,RUNX1_LMPP,hs,,
JV71,LMPP,LMO2,1,LMO2_LMPP,hs,,
JV72,LMPP,LYL1,1,LYL1_LMPP,hs,,
JV73,LMPP,GATA2,1,GATA2_LMPP,hs,,
JV74,LMPP,ERG,1,ERG_LMPP,hs,,
JV75,LMPP,PU1,1,PU1_LMPP,hs,,
JV76,LMPP,STAG2,1,STAG2_LMPP,hs,,
JV77,LMPP,CTCF,1,CTCF_LMPP,hs,,
JV78,CLP,STAG2,1,STAG2_CLP,hs,,
JV79,CLP,STAG2,2,STAG2_CLP,hs,,
JV80,CLP,CTCF,1,CTCF_CLP,hs,,
JV81,CLP,CTCF,2,CTCF_CLP,hs,,
JV82,CLP,K27ac,1,K27ac_CLP,hs,,
JV83,CLP,K27ac,2,K27ac_CLP,hs,,
JV84,CLP,K27me3,1,K27me3_CLP,hs,,
JV85,CLP,K27me4,2,K27me4_CLP,hs,,
MN1,MPP,TAL1,1,TAL1_MPP,hs,,
MN10,MPP,CTCF,1,CTCF_MPP,hs,,
MN11,MPP,K27ac,1,K27ac_MPP,hs,,
MN12,MPP,K4me3 ,1,K4me3 _MPP,hs,,
MN13,MPP,K27me3,1,K27me3_MPP,hs,,
MN14,MPP,ERG,1,ERG_MPP,hs,,
MN15,HSC,TAL1,1,TAL1_HSC,hs,,
MN16,HSC,FLI1,1,FLI1_HSC,hs,,
MN17,HSC,RUNX1,1,RUNX1_HSC,hs,,
MN18,HSC,LMO2,1,LMO2_HSC,hs,,
MN19,HSC,LYL1,1,LYL1_HSC,hs,,
MN2,MPP,FLI1,1,FLI1_MPP,hs,,
MN20,HSC,GATA2,1,GATA2_HSC,hs,,
MN21,HSC,ERG ,1,ERG _HSC,hs,,
MN22,HSC,PU1,1,PU1_HSC,hs,,
MN23,HSC,STAG2,1,STAG2_HSC,hs,,
MN24,HSC,CTCF,1,CTCF_HSC,hs,,
MN25,HSC,H3K27ac,1,H3K27ac_HSC,hs,,
MN26,HSC,H3K27ac,1,H3K27ac_HSC,hs,,
MN27,HSC,ERG,1,ERG_HSC,hs,,
MN28,HSC,H3K4me3 ,1,H3K4me3 _HSC,hs,,
MN29,PEER37K,H3k4me3,1,H3k4me3_PEER37K,hs,,
MN3,MPP,RUNX1,1,RUNX1_MPP,hs,,
MN30,PEER19K,H3k4me3,1,H3k4me3_PEER19K,hs,,
MN31,PEER75K,FLI1,1,FLI1_PEER75K,hs,,
MN32,PEER37K,FLI1,1,FLI1_PEER37K,hs,,
MN4,MPP,LMO2,1,LMO2_MPP,hs,,
MN5,MPP,LYL1,1,LYL1_MPP,hs,,
MN6,MPP,GATA2,1,GATA2_MPP,hs,,
MN7,MPP,ERG ,1,ERG _MPP,hs,,
MN8,MPP,PU1,1,PU1_MPP,hs,,
MN9,MPP,STAG2,1,STAG2_MPP,hs,,
JV1,PEER500K,FLI1,1,FLI1_PEER500K,hs,,
JV2,PEER100K,FLI1,1,FLI1_PEER100K,hs,,
JV3,PEER300K,FLI1,1,FLI1_PEER300K,hs,,
JV5,PEER500K,k4me3,1,k4me3_PEER500K,hs,,
JV6,PEER300K,FLI1,1,FLI1_PEER300K,hs,,
JV25,PEER100K,k4me3,1,k4me3_PEER100K,hs,,
JT132,PEER20M,FLI1,1,FLI1_PEER20M,hs,,
JV12,GMP,TAL1,1,TAL1_GMP,hs,,
JV13,GMP,FLI1,1,FLI1_GMP,hs,,
JV14,GMP,RUNX1,1,RUNX1_GMP,hs,,
JV15,GMP,LMO2,1,LMO2_GMP,hs,,
JV16,GMP,LYL1,1,LYL1_GMP,hs,,
JV17,GMP,GATA2,1,GATA2_GMP,hs,,
JV18,GMP,ERG,1,ERG_GMP,hs,,
JV19,GMP,STAG2,1,STAG2_GMP,hs,,
JV20,GMP,CTCF,1,CTCF_GMP,hs,,
JV21,GMP,PU1,1,PU1_GMP,hs,,
JV22,GMP,k27ac,1,k27ac_GMP,hs,,
JV23,GMP,k4me3 ,1,k4me3 _GMP,hs,,
JV24,GMP,k27me3 ,1,k27me3 _GMP,hs,,
JV26,MMP,TAL1,1,TAL1_MMP,hs,,
JV27,MMP,FLI1,1,FLI1_MMP,hs,,
JV28,MMP,RUNX1,1,RUNX1_MMP,hs,,
JV29,MMP,LMO2,1,LMO2_MMP,hs,,
JV30,MMP,LYL1,1,LYL1_MMP,hs,,
JV31,MMP,GATA2,1,GATA2_MMP,hs,,
JV32,MMP,ERG,1,ERG_MMP,hs,,
JV33,MMP,PU1,1,PU1_MMP,hs,,
JV34,MMP,STAG2,1,STAG2_MMP,hs,,
JV35,MMP,CTCF,1,CTCF_MMP,hs,,
JV36,MMP,k27ac,1,k27ac_MMP,hs,,
JV37,MMP,K4me3,1,K4me3_MMP,hs,,
JV38,MMP,K27me3,1,K27me3_MMP,hs,," (k27me3, S79, mixed into this!!!) "
JV39,MMP,IgG,1,IgG_MMP,hs,,
JV40,HSC,TAL1,1,TAL1_HSC,hs,,
JV41,HSC,FLI1,1,FLI1_HSC,hs,,
JV42,HSC,RUNX1,1,RUNX1_HSC,hs,,
JV43,HSC,LMO2,1,LMO2_HSC,hs,,
JV44,HSC,LYL1,1,LYL1_HSC,hs,,
JV45,HSC,GATA2,1,GATA2_HSC,hs,,
JV46,HSC,ERG,1,ERG_HSC,hs,,
JV47,HSC,PU1,1,PU1_HSC,hs,,
JV48,HSC,STAG2,1,STAG2_HSC,hs,,
JV49,HSC,CTCF,1,CTCF_HSC,hs,,
JV50,HSC,k27ac,1,k27ac_HSC,hs,,
JV51,HSC,K4me3,1,K4me3_HSC,hs,,
JV52,HSC,K27me3 ,1,K27me3 _HSC,hs,,
JV53,HSC,IgG,1,IgG_HSC,hs,,
JV54,LMPP,TAL1,1,TAL1_LMPP,hs,,
JV55,LMPP,FLI1,1,FLI1_LMPP,hs,,
JV56,LMPP,RUNX1,1,RUNX1_LMPP,hs,,
JV57,LMPP,LMO2,1,LMO2_LMPP,hs,,
JV58,LMPP,LYL1,1,LYL1_LMPP,hs,,
JV59,LMPP,GATA2,1,GATA2_LMPP,hs,,
JV60,LMPP,ERG,1,ERG_LMPP,hs,,
JV61,LMPP,PU1,1,PU1_LMPP,hs,,
JV62,LMPP,STAG2,1,STAG2_LMPP,hs,,
JV63,LMPP,CTCF,1,CTCF_LMPP,hs,,
JV64,LMPP,k27ac,1,k27ac_LMPP,hs,,
JV65,LMPP,K4me3,1,K4me3_LMPP,hs,,
JV66,LMPP,K27me3 ,1,K27me3 _LMPP,hs,,
JV67,LMPP,IgG,1,IgG_LMPP,hs,,
